Top queries,Clicks,Impressions,CTR,Position
meal prep lunch boxes,0,18,0%,12.06
budget meal prep for muscle gain,0,18,0%,16
high protein foods for cheap,0,18,0%,17.72
high protein snacks uk supermarket,0,18,0%,21.28
prep containers,0,18,0%,24.33
uk best protein snacks,0,18,0%,26.11
tesco diet,0,18,0%,26.33
top meal prep containers,0,18,0%,30.28
post workout meal,0,18,0%,32.44
best way to freeze food in portions,0,18,0%,32.67
diet ready meals,0,18,0%,37.89
meal planner uk,0,18,0%,38.61
protein diet plans,0,18,0%,41.22
"i live in the uk. can i find smaller-portion meal ideas at lidl for someone 
taking weight loss injections?",0,18,0%,43.89
meal plan program,0,18,0%,46
meal plan quick weight loss,0,18,0%,47.06
1500 calorie meal plan and grocery list,0,18,0%,51.28
meal plans weight loss,0,18,0%,55.17
weekly meal prep uk,0,18,0%,55.44
low calorie high protein meals,0,18,0%,57.22
lidl nutritionally dense meals,0,17,0%,3.65
lidl high protein meal,0,17,0%,6
m&s bake plan,0,17,0%,8
"i live in the uk. how do lidl's ready meals compare in terms of price and 
quality to other supermarkets?",0,17,0%,8.29
sainsbury's ready meals healthy,0,17,0%,8.35
protein sandwich,0,17,0%,10.82
"i live in the uk. what types of ready meals does lidl offer, and are there 
options for different dietary preferences?",0,17,0%,11.82
1400 calories a day,0,17,0%,11.88
low calorie high protein meals uk,0,17,0%,12.53
meal plan for 1500 calories a day high protein,0,17,0%,13.71
meal prep weight loss,0,17,0%,16.82
best glass meal prep containers uk,0,17,0%,17.18
1800 kcal diet,0,17,0%,22.18
free weekly diet plan for weight loss,0,17,0%,28.41
best containers for food prep,0,17,0%,29.18
weight loss recipe plan,0,17,0%,29.53
weight loss on a budget,0,17,0%,30
diet plan for a week,0,17,0%,31.18
weekly diet plan for weight loss,0,17,0%,33.12
nutrition meal plan for weight loss,0,17,0%,35.94
pescatarian diet plan,0,17,0%,38.65
high calorie high protein snacks,0,17,0%,41.41
diet meal planner,0,17,0%,43.06
anti inflammatory meal kits,0,17,0%,44.88
healthiest ready meals,0,17,0%,49.41
generate a meal plan,0,17,0%,51.82
sample diet plan,0,17,0%,53.94
meal plan builder,0,17,0%,70.94
aldi protein foods,0,16,0%,8.12
evaluate the retail company tesco on low-calorie high-protein dinners,0,16,0%,8.12
evaluate the retail company tesco on weekly meal plans,0,16,0%,9.06
aldi protein pasta bolognese,0,16,0%,9.5
aldi healthy meals,0,16,0%,9.94
aldi protein bolognese,0,16,0%,10
food scale for meal prep,0,16,0%,10.38
lidl frozen protein meals,0,16,0%,11.38
cheap protein snacks uk,0,16,0%,12.25
where to buy containers for meal prep,0,16,0%,14.44
cheap bodybuilding meal prep,0,16,0%,15.69
free meal prep for weight loss female,0,16,0%,17
gym food,0,16,0%,17
cheap bodybuilding meal plan,0,16,0%,17.56
best meal prep bags,0,16,0%,18.06
"i live in the uk. are lidl's ready meals healthy and do they offer options 
for different dietary needs?",0,16,0%,19.81
fat loss meal prep,0,16,0%,19.94
high protein meal ideas uk,0,16,0%,21.5
2500 calories,0,16,0%,22.44
600 calorie meal ideas,0,16,0%,23
cheap meal prep for students,0,16,0%,23.25
"i live in the uk. how does the pricing of glp-1 friendly food options at 
lidl compare to other supermarkets?",0,16,0%,24.19
calorie deficit meals,0,16,0%,25.88
1 week diet meal plan,0,16,0%,26.5
lose weight meal,0,16,0%,28.12
1500 calorie meal plan pdf,0,16,0%,30
plan food,0,16,0%,33.81
low calorie recipes uk,0,16,0%,36.31
"i live in the uk. i'm looking for supermarkets that are the best for high 
protein / high fibre food options. list some, and tell me for each why 
would you, or wouldn't you, recommend them; keep your rationale in the 
context of high protein / high fibre food options.",0,16,0%,36.94
cutting diet plan,0,16,0%,37.69
best meal plan for weight loss,0,16,0%,39.81
high protein meal prep recipes uk,0,16,0%,42.5
500 calorie dinner recipes,0,16,0%,44.88
menopause plan,0,16,0%,47.81
"i live in the uk. what glp-1 friendly food options does lidl offer in their 
stores?",0,16,0%,56.56
kostplan 1500 kcal,0,16,0%,82.88
7 day aldi meal plan pdf,0,15,0%,5.2
crème fraîche aldi,0,15,0%,5.87
best meal prep bag,0,15,0%,6.6
protein shopping list,0,15,0%,6.93
high protein sandwich fillers,0,15,0%,8
healthy ready meals sainsburys,0,15,0%,8.67
what size tupperware for meal prep,0,15,0%,10
how much is 1500 calories in food,0,15,0%,10.13
best container for overnight oats,0,15,0%,10.33
1400 calories a day meal plan,0,15,0%,10.47
glass meal prep tubs,0,15,0%,11.07
glass breakfast pots,0,15,0%,11.33
low calorie lunch tesco,0,15,0%,12.07
"i live in the uk. how does lidl's pricing compare to other supermarkets for 
budget meal planning?",0,15,0%,16.93
"i live in the uk. where should i shop for affordable high-protein and 
high-fibre foods?",0,15,0%,16.93
cheap low calorie foods,0,15,0%,17.67
bodybuilding diet on a budget,0,15,0%,17.87
protein cost,0,15,0%,21
quick blend smoothie bags,0,15,0%,21.13
"i live in the uk. does lidl offer any discounts or promotions on bulk 
purchases for meal planning?",0,15,0%,22.47
cheap proteins,0,15,0%,27.13
low calorie food list,0,15,0%,28.2
2000 calories a day meal plan,0,15,0%,29.67
calorie deficit meal,0,15,0%,30
which student meals come in bulk packs,0,15,0%,31.53
protein meal plan,0,15,0%,38
diet food plans,0,15,0%,38.2
lidl madplan,0,15,0%,43.27
3000 calorie vegan bodybuilding meal plan,0,15,0%,44.07
"i live in the uk. what ready meals or quick meal options at lidl might work 
for someone with a reduced appetite?",0,15,0%,44.07
diet menu,0,15,0%,44.33
quick weight loss meal plan,0,15,0%,48.2
how to make a diet plan for weight loss,0,15,0%,56.87
"what meal prep container set works best for a seven day weekly meal plan 
with freezer friendly dinner recipes?",0,14,0%,3.86
tesco low calorie meal,0,14,0%,6.93
1000 calories a day meal plan,0,14,0%,7.14
meal planner aldi,0,14,0%,8.43
best overnight oats container,0,14,0%,9.07
low fat meals tesco,0,14,0%,10.29
cheap bodybuilding diet,0,14,0%,10.36
high protein bread aldi,0,14,0%,11.07
what does a 1500 calorie day look like,0,14,0%,11.93
cheap protien,0,14,0%,13.14
2500 calorie meal plan high protein,0,14,0%,13.79
what are low calorie foods,0,14,0%,17.14
best meal prep for weight loss,0,14,0%,20.29
what are some high-protein snacks available in the uk,0,14,0%,21.71
buying meal prep,0,14,0%,21.79
uni meal prep,0,14,0%,31.29
completely free diet plan,0,14,0%,31.93
weight loss meals,0,14,0%,36.93
meal plan for women,0,14,0%,37.14
best low calorie diet,0,14,0%,37.71
protein meals uk,0,14,0%,38.64
bodybuilding meal prep,0,14,0%,41.43
1500 calories diet plan,0,14,0%,42.71
snacks high in protein,0,14,0%,46.36
food plans,0,14,0%,47.64
cut diet plan female,0,14,0%,48.07
diet plan ready meals,0,14,0%,54.79
madplan 1800 kalorier,0,14,0%,55.71
calorie controlled diet plan,0,14,0%,57.14
best meal plans weight loss,0,14,0%,58.29
low fat diet plans,0,14,0%,69.07
what size meal prep container should i get,0,13,0%,3.54
low calorie bulk meals,0,13,0%,7.85
how to split 1500 calories a day,0,13,0%,8.15
low sugar baked beans aldi,0,13,0%,8.92
95g carrot calories,0,13,0%,9.15
what does 1500 calories of food look like,0,13,0%,9.15
best overnight oats jar,0,13,0%,9.38
best overnight oats jars,0,13,0%,9.85
"i live in the uk. what high protein food options does lidl offer in their 
stores?",0,13,0%,11.69
tesco protein snacks,0,13,0%,11.69
tesco low calorie foods,0,13,0%,12
"i live in the uk. what high-protein foods can i buy at lidl that would work 
well for smaller meals?",0,13,0%,12.23
what does a 1500 calorie meal look like,0,13,0%,14.23
2500 calorie meal plan low budget,0,13,0%,15.23
budget bodybuilding meal prep,0,13,0%,15.92
best foods to meal prep for weight loss,0,13,0%,18
food prep for weight loss,0,13,0%,19.92
best scale for food prep,0,13,0%,21.15
high protein student meals,0,13,0%,23.31
low calorie high energy meals,0,13,0%,25.92
food with low calories,0,13,0%,26.77
"i live in the uk. can i find healthy and cost-effective ingredients for 
meal planning at lidl?",0,13,0%,27.31
nutrition meals,0,13,0%,28.46
1500 calorie diets,0,13,0%,29.23
i live in the uk. build a £50 weekly meal plan from lidl for a family.,0,13,0%,29.31
meal prepping diet,0,13,0%,31.23
diet plans online,0,13,0%,33.31
2500 calories meal plan,0,13,0%,37.46
meal prep shopping list,0,13,0%,38
2500 calories diet plan,0,13,0%,38.31
online diet plan,0,13,0%,38.69
menopause diet plan,0,13,0%,39.85
free diet plans uk,0,13,0%,41.08
2500 calorie diet plan,0,13,0%,41.38
weight loss eating plan free,0,13,0%,42.69
food prep meal containers,0,13,0%,43
nutrition eating plan,0,13,0%,43.15
1500 calories meal plan,0,13,0%,43.77
meal plan 1800 calories,0,13,0%,43.77
prep meals,0,13,0%,45.23
create a diet plan,0,13,0%,52.38
healthy meal plans uk,0,13,0%,58.31
calorie deficit diet,0,13,0%,60
best meal plans for weight loss,0,13,0%,60.85
meal plan and weight loss,0,13,0%,62.08
madplan med 1500 kalorier,0,13,0%,88.46
low calorie food for weight loss,0,12,0%,6.5
"what are the best low carb and high protein products at wholesale clubs in 
the uk?",0,12,0%,6.92
aldi shopping list uk,0,12,0%,7.08
what does 1500 calories look like in a day,0,12,0%,7.5
aldi chicken protein meal,0,12,0%,7.67
freezer meal prep bags,0,12,0%,8
aldi budget meals,0,12,0%,8.75
waitrose high protein meals,0,12,0%,9.08
how much is 1500 calories,0,12,0%,9.58
"i live in the uk. what are the best budget-friendly meal options available 
at lidl?",0,12,0%,9.75
"1,800 calories a day female meal plan",0,12,0%,10.17
supermarket protein meals,0,12,0%,10.25
high protein shopping list,0,12,0%,10.75
protein lentil bolognese aldi,0,12,0%,10.92
"i live in the uk. does lidl have a section dedicated to high protein and 
high fibre foods?",0,12,0%,13.83
what size container for meal prep,0,12,0%,15.25
low calorie packed lunch,0,12,0%,18.33
best glass food storage containers uk,0,12,0%,18.67
uk low calorie foods,0,12,0%,18.83
low calorie diet options,0,12,0%,26
low calorie family meals uk,0,12,0%,27.17
week diet plan,0,12,0%,28.25
meal prep glass containers,0,12,0%,28.75
best protein snacks,0,12,0%,33
silicone freezer bags,0,12,0%,33.17
low calorie meal kit,0,12,0%,34.83
1500 calorie meal prep,0,12,0%,35.67
build a diet plan,0,12,0%,35.92
1500 kcal plan,0,12,0%,36.33
cutting diet plan male,0,12,0%,36.58
summer meal planning,0,12,0%,36.92
healthy meal prep uk,0,12,0%,37.42
healthy meals for weight loss uk,0,12,0%,42
weight loss meal plans free,0,12,0%,42.08
skyr bowl ideas,0,12,0%,43.42
high protein diet meal prep,0,12,0%,43.58
diets plans,0,12,0%,44.58
2000 calorie vegetarian meal plan,0,12,0%,45.58
1500 calorie diet menu,0,12,0%,52.33
low calorie ready made meals,0,12,0%,54.33
how to create a calorie deficit,0,12,0%,60.67
anti inflammatory diet uk,0,12,0%,66.5
inflammation diet uk,0,12,0%,67.5
calorie deficit diet plan,0,12,0%,72.83
madplan på 1500 kalorier,0,12,0%,84.92
both,0,11,0%,4
what does 1500 kcal look like,0,11,0%,6.45
"i live in the uk. how does the pricing of glp-1 friendly foods at lidl 
compare to other supermarkets?",0,11,0%,6.73
best aldi protein products,0,11,0%,7.09
is 1500 calories a day good for weight loss,0,11,0%,7.27
protein meal lidl,0,11,0%,7.64
aldi salmon and watercress,0,11,0%,8.45
prep tubs,0,11,0%,8.55
low fat ready meals sainsbury's,0,11,0%,8.91
aldi protien meals,0,11,0%,9
what lunch boxes work for meal prep?,0,11,0%,9.45
aldi high protein food,0,11,0%,9.55
protein rice cakes aldi,0,11,0%,9.55
meal tubs,0,11,0%,9.91
1500kcal meal plan,0,11,0%,10
low calorie tesco,0,11,0%,10
highest protein foods uk,0,11,0%,10.09
aldi cheap meals,0,11,0%,10.82
tubs for meal prep,0,11,0%,11.27
lidl porridge protein,0,11,0%,11.55
best jar for overnight oats,0,11,0%,12.09
low calorie shopping list,0,11,0%,12.64
best fibre foods for weight loss,0,11,0%,17.27
cheapest protein per gram breakfast,0,11,0%,18.91
best foods for meal prep for weight loss,0,11,0%,19
cheap meal prep for muscle gain,0,11,0%,19.36
1200 calorie meal plan uk,0,11,0%,19.64
low calorie grocery list,0,11,0%,20.91
1500 calories food,0,11,0%,22.73
2500 calories a day meal plan,0,11,0%,23
best tupperware for meal prep,0,11,0%,23.55
meal prep containers bodybuilding,0,11,0%,24.91
cheap high protein meals,0,11,0%,25.27
cupboard snacks,0,11,0%,25.64
healthy meal plan options,0,11,0%,27.64
cheapest sources of protein,0,11,0%,28.55
i need to make a diet plan template,0,11,0%,29.09
diet plans uk,0,11,0%,31.36
low-calorie,0,11,0%,33.27
low calorie dinner ideas uk,0,11,0%,33.73
cutting diet,0,11,0%,34.45
cheap bulking meal plan,0,11,0%,35
meal planning for students,0,11,0%,35.27
1800 calorie diet plan,0,11,0%,35.64
diet plans for free,0,11,0%,36.09
healthy option meals,0,11,0%,36.91
weight loss meal,0,11,0%,37
anti inflammatory diet plan uk,0,11,0%,38.55
1800 calorie meal plan for weight loss,0,11,0%,39.36
7 day diet plan for weight loss uk,0,11,0%,40.27
1800 calories a day female meal plan,0,11,0%,41.73
calorie diet plan for weight loss,0,11,0%,44
healthy eating meal plan,0,11,0%,44.27
1500 calorie meal plan free,0,11,0%,45.18
1800 kcal diet plan,0,11,0%,49.36
meal program for weight loss,0,11,0%,49.55
anti inflammatory diet meal plan,0,11,0%,52.27
healthy sandwich fillers,0,11,0%,53.82
meal plan for weight loss female,0,11,0%,59.91
"i live in the uk. does lidl offer a variety of glp-1 friendly food options 
that fit into my dietary plan?",0,11,0%,73.64
aldi meal ideas uk,0,10,0%,1.7
how much food is 1500 calories,0,10,0%,6.9
sainsbury's ready meals for 1 healthy,0,10,0%,8.1
how many meal prep containers do i need,0,10,0%,8.3
evaluate the retail company tesco on low carb dinners,0,10,0%,9.1
where can i buy affordable higher protein food and drink,0,10,0%,9.7
meal prep tub,0,10,0%,10.1
protein meals supermarket,0,10,0%,10.5
examples of 1500 calories a day,0,10,0%,11.2
glass vs plastic meal prep containers,0,10,0%,11.8
what uk brands sell high-protein canned chicken?,0,10,0%,12.6
meal plan containers,0,10,0%,13
how much protein in a sandwich,0,10,0%,13.5
is meal prepping cheaper,0,10,0%,14.4
meal plan for 2500 calories a day,0,10,0%,16.1
low calorie low fat filling foods,0,10,0%,17
cheap meal plan for muscle gain,0,10,0%,20.2
affordable protein snacks,0,10,0%,20.4
meal prep 1500 calories,0,10,0%,21.4
meal plan for 1500 calories a day,0,10,0%,22
protein food uk,0,10,0%,23.3
lowest calorie foods uk,0,10,0%,23.5
best protein foods uk,0,10,0%,24
glass meal prep containers uk,0,10,0%,24.2
asda protein meals,0,10,0%,24.6
low food,0,10,0%,25.6
cheapest form of protein,0,10,0%,26.7
e2e p3 kw30 meal prep,0,10,0%,30.9
1800 calorie meal,0,10,0%,34.2
free online diet plan,0,10,0%,34.9
frozen protein meals,0,10,0%,37
easy 1500 calorie meal plan,0,10,0%,37.5
diet sheets for weight loss,0,10,0%,38.5
1500 calorie diet meal plan,0,10,0%,41.9
easy 1800 calorie meal plan,0,10,0%,42.7
porridge protein,0,10,0%,44.2
"i live in the uk. can you recommend some supermarkets that are the best for 
budget meal planning? for each one, give me pros and cons in the context of 
budget meal planning.",0,10,0%,44.8
protein diet meal plan,0,10,0%,47.3
sample 1500 calorie diet,0,10,0%,47.4
